QUERY	SUBJECT	CPUS(c)	MEM(Gb)	CPUPCT	CPUTIME	MEM(Mb)	NCPUS	VMEM(Mb)	WALLTIME(s)	QTIME(s)	STIME(s)	DELTA(s)	JOBID
P	P	56	32	8435	11432	267	56	5953	338	1510827599	1510871817	44218	483885.datarmor0
P	P	32	32	11218	11145	257	32	3601	520	1510827599	1510827601	2	483886.datarmor0
P	P	16	32	5049	13837	29	16	2032	1008	1510827599	1510827601	2	483887.datarmor0
P	P	8	32	7564	13789	246	8	1248	1893	1510825395	1510825396	1	483846.datarmor0
M	N	56	32	390	486	9799	56	12950	49	1510827599	1510871822	44223	483888.datarmor0
M	N	32	32	370	527	6059	32	6511	66	1510827599	1510827601	2	483889.datarmor0
M	N	16	32	771	432	3990	16	11166	77	1510827599	1510827601	2	483890.datarmor0
M	N	8	32	303	433	9648	8	9602	135	1510827599	1510827601	2	483891.datarmor0
N	N	56	32	21916	64733	252	56	17395	1226	1510827599	1510871873	44274	483892.datarmor0
N	N	32	32	13911	62808	224	32	14605	2161	1510827599	1510827669	70	483893.datarmor0
N	N	16	32	7496	64176	9486	16	12041	4394	1510827600	1510827680	80	483894.datarmor0
N	N	8	32	6968	75781	97	8	10701	9715	1510827600	1510827738	138	483895.datarmor0
N	P	56	32	12570	25478	332	56	5993	647	1510827600	1510875460	47860	483896.datarmor0
N	P	32	32	15231	25116	98	32	3646	1097	1510827600	1510828605	1005	483897.datarmor0
N	P	16	32	6336	30675	87	16	2077	2078	1510827600	1510828610	1010	483898.datarmor0
N	P	8	32	5546	25491	63	8	1293	3436	1510827600	1510829702	2102	483899.datarmor0
